subj,CB,age,gender,hand,ESL?,include_rest,CONN order,post_pre_AH_mPFC,related_enc_short,unrelated_enc_short,total_accuracy_short,related_accuracy_short,unrelated_accuracy_short,fine_accuracy_short,coarse_accuracy_short,fine_related_short,fine_unrelated_short,coarse_related_short,coarse_unrelated_short,related_enc_long,unrelated_enc_long,total_accuracy_long,related_accuracy_long,unrelated_accuracy_long,fine_accuracy_long,coarse_accuracy_long,fine_related_long,fine_unrelated_long,coarse_related_long,coarse_unrelated_long,R_wincon_short_mPFC2,R_xcon_short_mPFC2,R_wincon_long_mPFC2,R_xcon_long_mPFC2,R_wincon_minus_xcon_long_mPFC,R_wincon_long_minus_short_mPFC
S111,cb,29,F,L,Y,1,5,0.232301952,52.5,47.5,88.75,88.0952381,89.47368421,80,8.75,78.57142857,81.57894737,9.523809524,7.894736842,57.5,42.5,62.5,69.56521739,52.94117647,35,27.5,39.13043478,29.41176471,30.43478261,23.52941176,0.006475955,-0.0270124,-0.018922499,-0.00447348,-0.014449019,-0.025398454
S112,cb,27,F,R,N,1,6,-0.425364096,51.25,48.75,96.25,97.56097561,94.87179487,95,1.25,95.12195122,94.87179487,2.43902439,0,51.25,48.75,77.5,92.68292683,61.53846154,57.5,20,75.6097561,38.46153846,17.07317073,23.07692308,0.065528691,0.061502921,0.05250515,0.042319676,0.010185474,-0.013023541
S113,cb,24,M,R,Y,1,7,-0.643674543,50,50,96.25,95,97.5,75,21.25,65,85,30,12.5,50,50,60,62.5,57.5,38.75,21.25,37.5,40,25,17.5,0.0297345,0.02511508,0.015553474,0.011544806,0.004008668,-0.014181026
S114,cb,27,F,R,N,1,8,-0.187521499,48.75,51.25,82.5,82.05128205,82.92682927,48.75,33.75,56.41025641,41.46341463,25.64102564,41.46341463,52.5,47.5,66.25,80.95238095,50,45,21.25,54.76190476,34.21052632,26.19047619,15.78947368,-0.006104315,0.010152484,0.017191097,-0.015617263,0.03280836,0.023295412
S115,cb,24,M,R,Y,1,9,0.320690608,53.75,46.25,76.25,88.37209302,62.16216216,53.75,22.5,65.11627907,40.54054054,23.25581395,21.62162162,51.25,48.75,63.75,68.29268293,58.97435897,30,33.75,31.70731707,28.20512821,36.58536585,30.76923077,0.007831916,-0.004184109,0.026000604,0.02884284,-0.002842236,0.018168688
S116,cb,25,M,B,N,1,10,0.165806808,50,50,91.25,95,87.5,70,21.25,67.5,72.5,27.5,15,51.25,47.5,65,87.80487805,42.10526316,27.5,37.5,39.02439024,15.78947368,48.7804878,26.31578947,0.122128577,0.092995883,0.150678942,0.142921035,0.007757907,0.028550365
S117,cb,26,F,R,N,1,11,-0.139621166,50,50,97.5,95,100,91.25,6.25,92.5,90,2.5,10,50,50,90,100,80,62.5,27.5,55,70,45,10,0.052716772,0.049787284,-0.001500117,0.027649029,-0.029149146,-0.054216889
S118,cb,29,F,R,N,1,12,-0.194284067,52.5,47.5,80,85.71428571,73.68421053,56.25,23.75,69.04761905,42.10526316,16.66666667,31.57894737,48.75,51.25,47.5,53.84615385,41.46341463,23.75,23.75,30.76923077,17.07317073,23.07692308,24.3902439,0.035308967,0.030257884,0.096206477,0.024118575,0.072087902,0.06089751
S119,cb,29,F,R,N,1,13,-0.088124691,50,50,91.25,90,92.5,86.25,5,85,87.5,5,5,50,50,62.5,90,35,50,12.5,70,30,20,5,0.079309273,0.080062809,0.171109899,0.15497073,0.016139169,0.091800626
S120,cb,27,M,R,N,1,14,0.411412962,47.5,52.5,71.25,92.10526316,52.38095238,45,26.25,63.15789474,28.57142857,28.94736842,23.80952381,52.5,47.5,63.75,92.85714286,31.57894737,28.75,35,40.47619048,15.78947368,52.38095238,15.78947368,0.046277796,0.038717311,0.021841863,0.022153173,-0.00031131,-0.024435933
S121,cb,22,F,R,Y,1,15,-0.202623431,50,50,77.5,92.5,62.5,66.25,11.25,80,52.5,12.5,10,51.25,48.75,66.25,92.68292683,38.46153846,32.5,33.75,48.7804878,15.38461538,43.90243902,23.07692308,0.031118397,0.029146472,0.076648039,0.079039121,-0.002391082,0.045529642
S122,cb,28,F,R,N,1,16,0.121805252,48.75,51.25,90,97.43589744,82.92682927,75,15,84.61538462,65.85365854,12.82051282,17.07317073,47.5,52.5,62.5,73.68421053,52.38095238,37.5,25,47.36842105,28.57142857,26.31578947,23.80952381,-0.013618747,-0.006432693,0.010722738,-0.004155077,0.014877815,0.024341485
S123,cb,30,M,L,N,1,17,0.182305898,48.75,51.25,98.75,100,97.56097561,97.5,1.25,97.43589744,97.56097561,2.564102564,0,50,50,73.75,90,57.5,47.5,26.25,65,30,25,27.5,0.042395068,0.046670315,0.127221481,0.123088618,0.004132863,0.084826413
