subj,delay,congruency,granularity,cond,accuracy_gran,accuracy_rel,prop_forgetting,include,CB_order,DK,incorrect,total_forgot,R_enc,UR_enc,DK_perc,incorrect_perc,total_forgot_perc
S110,short,UR,coarse,URcoarse,7.5,92.5,,1,1,0,3,3,40,40,0,7.5,7.5
S111,short,UR,coarse,URcoarse,7.894736842,89.47368421,,1,2,0,4,4,42,38,0,10.52631579,10.52631579
S112,short,UR,coarse,URcoarse,0,94.87179487,,1,2,0,2,2,41,39,0,5.128205128,5.128205128
S113,short,UR,coarse,URcoarse,12.5,97.5,,1,2,0,1,1,40,40,0,2.5,2.5
S114,short,UR,coarse,URcoarse,41.46341463,82.92682927,,1,2,0,7,7,39,41,0,17.07317073,17.07317073
S115,short,UR,coarse,URcoarse,21.62162162,62.16216216,,1,2,1,13,14,43,37,2.702702703,35.13513514,37.83783784
S116,short,UR,coarse,URcoarse,15,87.5,,1,2,0,5,5,40,40,0,12.5,12.5
S117,short,UR,coarse,URcoarse,10,100,,1,2,0,0,0,40,40,0,0,0
S118,short,UR,coarse,URcoarse,31.57894737,73.68421053,,1,2,2,8,10,42,38,5.263157895,21.05263158,26.31578947
S119,short,UR,coarse,URcoarse,5,92.5,,1,2,0,3,3,40,40,0,7.5,7.5
S120,short,UR,coarse,URcoarse,23.80952381,52.38095238,,1,2,0,20,20,38,42,0,47.61904762,47.61904762
S121,short,UR,coarse,URcoarse,10,62.5,,1,2,0,15,15,40,40,0,37.5,37.5
S122,short,UR,coarse,URcoarse,17.07317073,82.92682927,,1,2,0,7,7,39,41,0,17.07317073,17.07317073
S123,short,UR,coarse,URcoarse,0,97.56097561,,1,2,0,1,1,39,41,0,2.43902439,2.43902439
P101,long,UR,coarse,URcoarse,10.25641026,35.8974359,0.35042735,1,1,3,22,25,41,39,7.692307692,56.41025641,64.1025641
S102,long,UR,coarse,URcoarse,,,,1,1,24,11,35,38,42,57.14285714,26.19047619,83.33333333
S103,long,UR,coarse,URcoarse,,,,1,1,40,4,44,30,50,80,8,88
S104,long,UR,coarse,URcoarse,,,,1,1,35,3,38,40,40,87.5,7.5,95
S105,long,UR,coarse,URcoarse,10.25641026,30.76923077,-0.025641026,1,1,4,23,27,41,39,10.25641026,58.97435897,69.23076923
S106,long,UR,coarse,URcoarse,20.51282051,43.58974359,0.413919414,1,1,1,21,22,41,39,2.564102564,53.84615385,56.41025641
S107,long,UR,coarse,URcoarse,23.07692308,46.15384615,0.051282051,1,1,1,20,21,41,39,2.564102564,51.28205128,53.84615385
S108,long,UR,coarse,URcoarse,,,,1,1,30,6,36,40,40,75,15,90
S109,long,UR,coarse,URcoarse,22.5,50,0.055,1,1,4,16,20,40,40,10,40,50
S110,long,UR,coarse,URcoarse,15.78947368,52.63157895,-1.105263157,1,1,1,18,19,41,38,2.631578947,47.36842105,50
S111,long,UR,coarse,URcoarse,23.52941176,52.94117647,-1.980392156,1,2,0,16,16,46,34,0,47.05882353,47.05882353
S112,long,UR,coarse,URcoarse,23.07692308,61.53846154,,1,2,0,15,15,41,39,0,38.46153846,38.46153846
S113,long,UR,coarse,URcoarse,17.5,57.5,-0.4,1,2,0,17,17,40,40,0,42.5,42.5
S114,long,UR,coarse,URcoarse,15.78947368,50,0.619195047,1,2,0,19,19,42,38,0,50,50
